,,Unnamed: 0,song,album,lyrics
123,123,123,Behind Barz (Link Up TV Freestyle),,"Yeah, Link Up TV, Behind Barz
Big up man like Rashid, Joey, Tadas, yeah
Shoutout Giggs for settin' the ting
SN1, OVO
Mm-hmm, yeah, look
You know how the paigon chit-chat goes
I like Rs and Vs and Os
I don't really play no tic-tac-toe
Been with Chubbs through highs and lows
We seen man last night, they froze
Wasn't no cameras, wasn't no pose
Just like that one time at 'Chella
Good thing man weren't pullin' out phones
Staying in big six-six with woes
Man start dissin' and doin' reposts
They do anything except road
Still can't see them after it snows
I don't have time for the wasteman jokes
Personal ting if I'm gettin' up close
Loyal to O 'cause I've taken a oath
Versace hotel and I'm takin' the robes
Seen 'em in person, I'm seein' a ghost
They told me relax 'cause they're takin' control
Take all that shit up with P and his bro
I wish you the best, let me know how it goes
Wanna be free and I wanna let go
We came around and you showed us the most
I know so much shit that I cannot expose
I keep it inside and I laugh on my own
Got all the tea and I'm hottin' it up
I need a shade mansion, a room's not enough
You're droppin' some shit but that shit was a bust
They got no direction, they're followin' us
I come from a city that they never touch
Your man is a goofy and he could get rushed
I can't name a rapper or girl that I trust
I dream about turnin' these yutes into dust
Yeah, yeah
Big Scorpion, out now
Yeah, look
You know how the paigon chit-chat goes
I like Rs and Vs and Os
I don't really play no tic-tac-toe
Been with Roxx through highs and lows
We seen man last night, they froze
Wasn't no cameras, wasn't no pose
Just like that one time at Nobu
Good thing man weren't pullin' out phones
Think you know me? That's not true
We got ties in West End too
She came over and she got slewed
Throwin' up six like man had flu
I got way too big off Views
Back to the basics, I won't lose
They wanna link when they got no chunes
They too worried 'bout sellin' out shoes
I don't give a fuck about jeans and crep
Or goin' to Milan or goin' to the Met
I just wanna make these songs for the set
I just wanna load that and let that wet
I got so much tings in the stash
Fold up anyone, dun that clash
Got no sense like Jizzle and shh
Big and bad like leader and shh
Can't do love 'cause they get too attached
Phone get broke and whip get scratched
I'ma just take my knots in cash
They can never tie me down, that's facts
All that bark but we know he's a cat
I don't really like goin' tit for tat
I'ma just come like tat-tat-tat
I'ma just end that there, that's that
Yeah, Link Up TV
Drizzy Drake
Maddas, jheeze!"
124,124,124,That’s How You Feel,,"[Intro: Drake]
Yeah, woo
[Verse 1: Drake]
I'm just in the cut sittin' sideways
Way that you lookin' all the time
Time gets to tickin' and it takes a toll
Told you I couldn't really draw the line
Line ringin', sayin' that you told him things
Things that you could've kept inside
Sidetrackin' me when I was good to you
You were somebody I would stand behind
[Chorus: Drake]
I know you like to drink 'til the sun up
Grind 'til you come up
Work all winter, shine all summer
Ride for your brother
You die for your mother
Keep that shit a hunna
I know you wanna
Vacay to a place where you could
Take pictures, post on Insta
Your friends say they miss ya
But they don't really miss ya
[Refrain: Nicki Minaj & (DJ Boof)]
Rule number one, to be a boss-ass bitch (Uh-huh)
Never let a clown nigga try to play you (Okay)
If he play you, then rule number two (Okay)
Is fuck his best friends and make 'em yes men (Okay)
And– (Wow, that's how you feel?)
[Verse 2: Drake]
I'm just in the cut sittin' sideways
Way that you lookin' all the time
Time, it done left you with a broken heart
Hardly excuses how you play with mine
Mindin' my business and you show up
Up to no good, I should've seen the signs
Signin' me up to do your dirty work
Workin' to try and get you off my mind
[Chorus: Drake]
I know you like to drink 'til the sun up
Grind 'til you come up
Work all winter, shine all summer
Ride for your brother
You die for your mother
Keep that shit a hunna
I know you wanna
Vacay to a place where you could
Take pictures, post on Insta
Your friends say they miss ya
But they don't really miss ya
[Outro: Nicki Minaj & (DJ Boof)]
What the fuck, this ain't Chanel, nigga?! Custom down?!
What the fuck, I ain't smokin' hot?! Bust me down?!
You the same clown nigga that was runnin' me down?!
Now you all up in my…'cause you wanna be down?! (Okay)
(Wow, that's how you feel?)"
125,125,125,Talk Up,,"[Intro: Drake]
DJ Paul
TWhy
Ayy, ayy
Lot of 6's in here tonight
Yeah, yeah, ayy
(Dopeman!)
[Verse 1: Drake]
Ten of us, we movin' as one
I'm so proud of who I've become
You might think I've taken some lumps
Only if we talkin' 'bout sums (Yeah)
Intentions are pure, they cannot tell me relax
My mentions are jokes, but they never give me the facts
This isn't that, can't be ignorin' the stats
Based off of that, they gotta run me the max
They gotta run me the max, they gotta double the racks
They had it set up for real, but they didn't come with the slaps
When I heard the shit I was skippin' through that
If I get it trippin', it's no comin' back
I don't understand, these niggas gotta adapt
You know where I'm at, I put the 6 on the map
Your shorty was bent, she wanted to vent
I promise it fell in my lap
My money is young, my problems are old
I promise I'm bridgin' the gap
[Chorus: Drake]
Woo! You know what I'm sayin'?
Woo! Ayy, ayy
Yeah, you know what I'm sayin'?
(Gyeah, gyeah, gyeah, gyeah!)
[Bridge: Drake]
Niggas provoke, this shit ain't a joke, man, nobody playin'
He's at the top and he's at the top, but nobody stayin'
These niggas around but they ain't around
You know what I'm sayin'?
Say that they down, when they shit is down
You know what I'm sayin'?
[Chorus: Drake]
Yeah, you know what I'm sayin'?
Ayy, ayy, yeah
You know what I'm sayin'?
[Verse 2: JAY-Z]
Yo, get close enough to HOV, smell like a kilo still (Still)
First album 26, I ain't need no deal (Real)
Already a hood legend, I ain't need no Shyne (Woo!)
First Rollie flooded out, I ain't see no time, woah
Stand-up niggas, we only duckin' indictments
Dope boys, Off-White, lookin' like soft white on 'em
Heh, you know what I'm sayin'?
We in the buildin', we came for a billion, ain't nobody playin'
Live every word that I'm rappin'
Say I lost 90 bricks and it happened
You probably wouldn't believe
Everything that you seein' right now if it wasn't live action
I ain't on the 'Gram, they record who I am
God to these dope boys, how do you not be a HOV fan?
I'm what Meech shoulda been
I'm what Supreme didn't become
If Alpo didn't snitch, niggas'd be like Young
I got your President tweetin', I won't even meet with him
Y'all killed X and let Zimmerman live, shhh, s-streets is done
[Chorus: Drake]
You know what I'm sayin'?
Ayy, ayy, yeah
You know what I'm sayin'?
[Bridge: Drake]
Niggas provoke, this shit ain't a joke, man, nobody playin'
He's at the top and he's at the top, but nobody stayin'
These niggas around but they ain't around
You know what I'm sayin'?
Say that they down, when they shit is down
You know what I'm sayin'?
[Chorus: Drake]
Yeah, you know what I'm sayin'?
Ayy, ayy, yeah
You know what I'm sayin'?"
126,126,126,Survival,,"I been waitin' on this
Yeah
All of this disorder, no addressin'
The crown is broken in pieces, but there's more in my possession
There's a whole lot in my possession
Who do you really love? Well, that's sure to be in question
My Mount Rushmore is me with four different expressions
Who's givin' out this much return on investment?
After my run, man, how is that even a question?
After this summer, man, how is that even a—
I've had real Philly niggas try to write my endin'
Takin' shots with the GOAT and talked about shots that we sendin'
I've had scuffles with bad boys that wasn't pretendin'
I've had too many nights to mention, that's just the beginnin'
I'm pretty sure we got a label, I'm still independent
I fell back a hundred times when I don't get the credit
Seen this movie a hundred times, I know where it's headed
Realize someone gotta die when no one'll dead it
Niggas gamblin' with they life for some content
That's the type of lottery that could get your top picked
I am a cream-of-the-crop nigga
You niggas pop mollies, my Mali's pop niggas
House on both coasts, but I live on the charts
I have tea with the stars and I swim with the sharks
And I see in the dark, wasn't this cold at the start
Think my soul has been marked, there's a hole in my heart
Yeah, I was about to— Man, I thought about it
It's unsettlin' to talk about it
Free all of my niggas that they caught with it
R.I.P. my niggas that they caught without it
This just the intro, let me not get ahead of myself
This is God's plan, young man, you said it yourself
Always got a ace up my sleeve for whatever was dealt
Daddy got suits like Bernie Mac, he dresses himself
I stopped askin' myself and I started feelin' myself
Now I gotta deal with all this drama and deal with myself
I ain't even have to cut the tie, it severed itself
This just the intro, let me not get ahead of myself"
127,127,127,We Made It Freestyle,,"[Intro 1: Eastbound & Down (Kenny Powers)]
The only thing I'm seein' I'd like to put an amend on, perhaps a little more room here for the fixins, you know what I'm talkin' about? Oh, we gon' have a lot of fixins. We gonna have so many fuckin' fixins up in this motherfucker, this shit gon' go through the roof. Got damn I'm shittin' gold these days
[Intro 2: Soulja Boy]
Soulja Boy, Drake
Oh, we made it
Turn me up just a little bit in the headphones
Worldwide, international
[Chorus: Soulja Boy]
Nigga we made it, ayy
We made it
Nigga we made it, ayy
Damn, we made it
Nigga we made it, ayy
We made it, ayy
Nigga we made it, ayy
We made it
[Verse 1: Drake]
Yeah, she said she workin' for Walgreens but not in the store, at the head office
The head was so good it makes sense why you work at the head office
In 2007, I sat in the lobby of Motown and waited
Now I walk into the buildin' and go off like ""Nigga we made it!"" (Go off)
When I walk through these halls, man this beat should be playin' (Go off)
I just came to make sure you not missin' no payments
Now turn this shit down while I issue my statement
It needed a moment of silence, nigga we made it!
You fly out your lady, I fly out my latest
Bitches can't front on the kid anymore, man they know what my name is
And if by chance she don't know who I am, she just know that I'm famous
I'ma just hand her a business card and say ""Nigga we made it!""
And she gotta come through the hotel and pop it off for me
Then she gon' text her best friend like ""Girl he got some good dick and money""
Her friend hit her back like ""I know that already, that nigga's amazin'""
Then I send a message to both of they asses like ""Nigga we made it!""
[Interlude: Kenny Powers]
Kinda makes me wonder why the hell so many people are tryna tell me to slow down. Seems like motherfuckers should be shuttin' the hell up and enjoyin' the show
[Chorus: Soulja Boy]
Ayy, we made it
Nigga we made it, ayy
Damn, we made it
Nigga we made it, ayy
We made it, ayy
Nigga we made it, ayy
We made it
[Verse 2: Drake]
Yeah, if they with me, just know that they wit' it and 'bout it
If I said it, I meant it, there's no way around it
OVO, Reps Up, and P. Reign is next up, watch Gway go crazy
When Baka came home for the holidays, I was like ""Nigga we made it!""
And all of those lawyer fees, nigga I paid it (Go off)
My family get all of my loyalty, all of my patience (Go off)
My life for your life, man I wouldn't trade it
I would just look at you dead in yo' face and say ""Nigga we made it!""
I swear that we made it, selloff that ting, I'm the king in Jamaica
But I've been on that wave, that's why this year I tell ya, I don't need no favors (Go off)
(Damn, Soulja Boy stunt on them haters)
And my resolution for New Years is nigga we made it!
You don't know how long I waited, I coulda been waitin' on tables, my karma's amazin'
I'm out in the Caymans, rented a 12-bedroom house just to sleep all the women we came with
That's ignorant, ain't it? Sometimes I question myself when I think 'bout the pictures I painted
Then I pick up my brush and I sign at the bottom like ""Nigga we made it!""
[Chorus: Soulja Boy]
Ayy, we made it
Nigga we made it, ayy
Damn, we made it
[Verse 3: Soulja Boy]
I remember standing in the hood
Tellin' my partner, and my momma, everything gonna be all good
Nigga we made it! Damn, I'm up in Las Vegas
Damn, I never was supposed to have shit, now my life is lavish
Every night, fuckin' a bad bitch, nigga we made it!
Coppin' a Lambo, cash, the Bentley, two times I crashed
Ha, nigga we made it!
Look at them niggas' faces, them niggas, they hate it
I look a nigga in his face and say ""Nigga we made it!""
Soulja Boy stunt on them haters
And these days I don't need no favors, ayy
Nigga we made it!
[Outro: Soulja Boy]
You already know man
Phone call back to the old hood, see what's goin' on
Brrt brrt, nigga we made it"
128,128,128,Can’t Have Everything,,"[Verse 1: Drake]
Uh, man, fresh up out the sand, February tan
It's The Boy but I'm still the man, come and get your mans
I don't know, first you caught the hands, then you took the stand
It's a joke, but you say you real—I don't understand
On a yacht, me and all the dogs actin' like some dogs
We evolved, used to think vacation meant Niagara Falls
Swear to God, shout to Buffalo, never duckin' low
I don't stop, man, I'm stuck on go, always hug the road
Fuck a opp, make his body roll, yeah, a lot of those
Started out doin' college shows, Calipari flow
Then I popped like you never seen
We with everything, I went off in the '16, give me '17
[Chorus: Drake]
Want a lot, can't have everything, can't have everything
Want a lot, can't have everything but I want everything
[Verse 2: Drake]
Bad attitude, tellin' who to calm down?
Tryna cool it all down, who's callin' my name?
Who's involved now? Tell me who I gotta down
I'll do a song now, man
Even though there's way less to prove to y'all now, man
Everything that went around is comin' back around
Y'all better hit the ground
Goddamn, beef forever unfinished
Yeah, it's all open-ended, had me off for a minute
Had you all since beginnin'
Damn, I must be coachin', 'cause I'm not playin' with them
Can you not see the difference?
I mean, I keep the fuckin' lights on in the buildin'
Man, my record deal should be 500 million, goddamn
[Chorus: Drake]
Can't have everything, can't have everything
Want a lot, can't have everything but I want everything
[Verse 3: Drake]
Finally got my mind in a free state
Niggas tried to serve me up a cheesesteak
I gave them back a clean plate
Same niggas preein' cause they hate to see the team straight
Same niggas beakin', always duckin' my release dates
That's when the phone starts ringin' like, ""Are we straight?""
Two-faced niggas back around with the three face
Damn, ol' triple double, Russ face, watch with the bust face
Never-met-the-plug-but-I-rap-about-the-plug face
Never-met-myself, I-don't-remember-who-I-was face
Y'all fuckin' hilarious
Y'all really think y'all niggas teamin' up is scarin' us
Y'all niggas is arrogant, y'all sleep at the Sheraton
All that shit embarrassin'
Tell your big homie I'm all for goin' there again
He ain't even die and I ball with his inheritance
All that's in my account at the Bank of America
All that Drake hysteria
6 side, East side, all that for my area
[Outro: Sandi Graham]
You know, hun, I'm a bit concerned about this negative tone that I'm hearing in your voice these days. I can appreciate where your uncertainty stems from and you have reason to question your anxieties and how disillusioned you feel, as well as feeling skeptical about who you believe you can trust. But that attitude will just hold you back in this life, and you're going to continue to feel alienated. Give some thought to this, because I’m confident in you, and I know you can reach your desired destination and accomplish your goals much more quickly without this confrontation I'm hearing in your tone these days. When others go low, we go high."
129,129,129,Can’t Take a Joke,,"Ayo, blast that shit, Maxx
Blast that shit back if you blastin'
Ayy
UberX to Hidden Hills
Give me somethin' I can feel
If they come to Hidden Hills
Then I know they know the deal
We just right there up the road
You could hit it with a stone
I be out here on my own
I'm just tryna set the tone
I've been kicked when I was down
None of that shit matter now
Niggas think they run the town
'Til we run 'em out of town
And they gotta relocate
Gotta dip from where they stay
Everything will be okay
Man, just stay up out my way
Skid around ends with the bros and I'm kitted to the toes
If I touch studio then we got one
I be tryna laugh with the bros 'bout the opps that we know
But they can't take a joke, 'cause it's not one
Think it's 'cause we live by the code, reputation to uphold
Makin' me the one they gotta take the spot from
I be tryna laugh with the bros but they can't take a joke
Ayo, blast that shit, Maxx
Blast that shit back if you blastin'
Yeah, yeah
Back and forth to Italy
My comment section killin' me
I swear I get so passionate
Y'all do not know the half of it
I grew up with the Reps Up boys, we crashin' it and splashin' in
And when I say they crashin' it, I do not mean a accident
I'm– I'm still in the studio at 6:45
And my haters either on they way to work or they arrived
And I gotta own the things I rap about just for my pride
You know when it comes to pride, I can't put that shit aside
I've been kicked when I was down
None of that shit matter now
They be throwin' in the towel
I do yellowtail at TAO
They be watchin' what they say
Especially when it's to my face
Everything will be okay
Man, just stay up out my way
Skid around ends with the bros and I'm kitted to the toes
If I touch studio then we got one
I be tryna laugh with the bros 'bout the opps that we know
But they can't take a joke, 'cause it's not one
Think it's 'cause we live by the code, reputation to uphold
Makin' me the one they gotta take the spot from
I be tryna laugh with the bros but they can't take a joke"
130,130,130,Get It Together,,"[Verse 1: Jorja Smith]
Hello
I've been hurt so many times
It got to a point
When I decided
I can't do this anymore
I need someone to hold me
I need someone that needs me
I need someone that loves me
[Chorus: Drake & Jorja Smith]
You need me to get that shit together
So we can get together
You need me to get that shit together
So we can get together
You need me to
(Yeah, yeah)
You need me to
[Verse 2: Jorja Smith]
You know, we don't have to be dramatic
Just romantic
Do all the little things, little things, little things
That excites me
As your woman
Give me a kiss goodnight
Over the phone
When you're working late
When you're out of town
Tell me how much you need this
'Cause we deserve it
We can be together, but
[Chorus: Drake & Jorja Smith]
You need me to get that shit together
So we can get together
You need me to get that shit together
So we can get together
You need me to (Yeah, oh-oh, yeah)
You need me to (Yeah)
You need me to
Dun know already, cuz"
131,131,131,March 14,,"Here we go, yeah
Yesterday morning was crazy
I had to come to terms with the fact that it's not a maybe
That shit is in stone, sealed and signed
She not my lover like ""Billie Jean"", but the kid is mine
Sandi used to tell me all it takes is one time
And all it took was one time
Shit, we only met two times, two times
And both times were nothin' like the new times
Now it's rough times, I'm out here on front lines
Just tryin' to make sure that I see him sometimes
It's breakin' my spirit
Single father, I hate when I hear it
I used to challenge my parents on every album
Now I'm embarrassed to tell 'em I ended up as a co-parent
Always promised the family unit
I wanted it to be different because I've been through it
But this is the harsh truth now
And fairy tales are saved for the bedtime stories I tell you now
I don't want you worry 'bout whose house you live at
Or who loves you more or who's not there
Who did what to who 'fore you got here
Nah, look, I'm too proud
To let that come between me and you now
Realize I gotta think for two now
I gotta make it, I better make it
I promise if I'm not dead then I'm dedicated
This the first positive DNA we ever celebrated
I can't forget the looks on they faces
Got the news in Miami that now we all got ones that we raisin'
Tell Gelo bring some Mod Rosé and the Baccarats out
For our cheers to the next generation
But this Champagne toast is short-lived
I got an empty crib in my empty crib
I only met you one time, introduced you to Saint Nick
I think he must've brought you like twenty gifts
Your mother say you growin' so fast that they don't even really fit
But man, you know
I still had to get it for my boy though, you know
You haven't met your grandfather yet, that nigga a trip
He probably coulda did stand-up
Yeah, but at the same time he's a stand up
And that's how you gon' be when it's time to man up
October baby for irony's sake, of course
I got this 11 tatted for somebody, now it's yours
And believe me, I can't wait to get a hundred more
Sorry I'm ventin', tryna cover ground
They said that in two weeks, you're supposed to come in town
Hopefully by the time you hear this
Me and your mother will have come around
Instead of always cuttin' each other down
God willin', I got a good feelin'
You got a good spirit
We'll talk more when you hear this my G
I'm changing from boy to a man
No one to guide me, I'm all alone
No one to cry on
I need shelter from the rain, to ease the pain
Of changing from boy to a man
No one to guide me, I'm all alone
No one to cry on
I need shelter from the rain, to ease the pain
Of changing from boy to a man
I'm all alone
No one to cry on
I need shelter from the rain, to ease the pain
Of changing from boy to a man
Here we go again"
132,132,132,Can I?,,"[Intro: Drake & Beyoncé]
Can I, baby? Can I, baby?
Yeah, can I, baby? Can I, baby?
[Verse: Drake & Beyoncé]
Can I bring you to the six where I really stay, baby?
Show you why I am the way I am
Can I tell you what I think my biggest flaw is, baby?
I try to be consistent, but I can't
Can I have an honest moment wit' you right now, baby?
Tell me who the fuck you want to be
Can I get an honest answer from you right now, baby?
'Cause all we ever talk about is me
Can I? Before I turn the lights out
'Fore I turn the lights out, tell me who the fuck you want to be
Can I call instead of text you on the hotline?
Sometimes a nigga wanna hear your voice
Can I see you right now, I know the sun is up, baby?
Sorry, I don't really have a choice
Can I ever make you feel like I'm down for you, baby?
You do so much more than that for me
Can I finally take the time and open up to you, baby?
'Cause that's the side you never get to see
Can I? Before I turn the lights out one more time
'Fore I turn the lights out, tell me who the fuck you want to be
[Outro: Drake & Beyoncé]
Can I, baby? Can I? Before I turn the lights out
Can I, baby? Can I, baby?
Can I, baby? Can I, baby?
Can I? Before I turn the lights out
Tell me who the fuck you wanna be
Can I? Can I, baby?
Can I, baby? Can I, baby?
Can I? Before I turn the lights out one more time
Tell me who the fuck you wanna be
Before I turn the lights out"
133,133,133,Finesse,,"Yeah, turn everything up
Yeah, oh yeah
Turn everything up a little more
I want my baby to have your eyes
I'm going against my own advice
Should I do New York? I can't decide
Fashion week is more your thing than mine
I can't even lie, I'd rather stay inside
I can't do suit and tie
Can't be in a room with you and stand on different sides
One thing at a time
I have to learn to hide
One thing at a time
Emotions running high
I wish you felt alright
[Pre-Chorus]
Just hitting my line
All the time, all the time, all the–
You stay on my mind
All the time, all the time (Yeah)
It takes some finesse
I seen you finesse
He can't know finesse
You stay on my mind
You and your sister
Too hot to handle
Things would get cancelled
I would make time for you
Commitment
Going the distance
I'm new to all of this
It takes some finesse
I seen you finesse
He can't know finesse
You stay on my mind"
134,134,134,Summer Games,,"I think you're changin' your mind
Startin' to see it in your eyes
I used to love a good surprise
And now I'd rather know ahead of time
You said ""I love you"" too fast
So much for that, girl, summer just started
And we're already done
Yeah, you say I led you on, but you followed me
I follow one of your friends, you unfollow me
Then you block them so they can't see you likin' someone just like me
I expected more from you honestly
Said you want a simple life and that's not me
How you go from that to endin' up with someone just like…?
How can you be angry on a night in July
And be warm with me when it's freezin' outside
You're confusin' me, don't have me wastin' my time
Yeah, you said ""I love you"" too fast
So much for that, girl, summer just started
And we're already done
I kept it decent, I kept you sane
I kept it peaceful, don't lie
I kept it decent, even the secrets
Kept it between you and I
Breakin' my heart, tearin' me apart
Breakin' me down when I'm already down
Breakin' my heart– breakin' my heart– breakin' my heart
Breakin' my heart– breakin' my heart–
Brea– brea– brea– brea– brea– brea– brea– brea
Breakin' my heart, tearin' me apart
Breakin' me down when I'm already down
Breakin' my heart– breakin' my heart– breakin' my heart
Breakin' my heart– breakin' my heart–
Brea– brea– brea– brea– brea– brea– brea– brea- brea
You said ""I love you"" too fast
So much for that, girl, summer just started
And we're already done
How can you be angry on a night in July
And be warm with me when it's freezin' outside
You're confusin' me, don't have me wastin' my time
Yeah, you said ""I love you"" too fast
So much for that, girl, summer just started
And we're already done"
135,135,135,Dreams Money Can Buy,,"[Intro: Jai Paul]
Ooh-ooh-ooh, ooh-ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh, ooh-ooh
[Chorus: Jai Paul]
Don't fuck with me, don't fuck with me
Don't fuck with me, don't fuck with me
Don't fuck with me, don't fuck with me (Don't)
[Verse 1: Drake]
I got car money, fresh start money
I want Saudi money, I want art money
I want women to cry and pour out they heart for me
And tell me how much they hate it when they apart from me
Yeah, and lately I do bitches the meanest
Tell 'em I love 'em and don't ever mean it
We go on dates, I send the Maybach out in neighborhoods
They never seen it
That shit is dangerous, but it's so convenient, I ain't lying
Yeah, and comfortable I sit
That manual Ferrari Italia's some fly shit
It's sitting at the house like I bought it in '96
'Cause honestly I'm too fucking busy to drive stick, I swear
Too fucking busy, too busy fuckin'
This nigga girl, but to me she wasn't
Been hot before they open doors for me, pre-heated oven
I'm in this ho
But I ain't finished though, it's been a minute though
My newest girl from back home got issues with parents
And some charges, how the fuck can I get her to Paris?
Luckily, I'm the greatest my country's ever seen
So chances are I get the border to issue me clearance
Dreams money can buy
Everybody yelled ""Surprise!"", I wasn't surprised
That's only 'cause I been waiting on it, nigga
So fuck whoever hating on a nigga
Of course...
Don't fuck with me, don't fuck with me (Don't)
Don't fuck with me, don't fuck with me (Don't)
Don't fuck with me, don't fuck with me (Don't)
Don't fuck with me, don't fuck with me (Don't)
[Verse 2: Drake]
Food from India, she in Charlotte Olympias
We talked music for hours, she never mentioned ya
Can't tell you how much I love when niggas think they got it
And I love the fact that line made 'em think about it
YMCMB
These niggas make it so hard to be friendly
When I know part of it's envy
Tryna fill the shoes, nigga, so far, these are empty
I take 'em off in the house because the throw carpets are Fendi
Ooh! I never seen the car you claim to drive
Or, shit, I seen it; you just ain't inside
And I feel like lately, it went from top five to remaining five
My favorite rappers either lost it or they ain't alive
And they tryna bring us down, me, Weezy, and Stunna
We stayed up, Christmas lights in the middle of summer
And if the girl standing next to me got a fat ass
Then I'll probably give her my number
Yeah, I throw my dollars up high
And they land on the stage you dance on
We got company coming over
Would it kill you to put some pants on?
Dreams money can buy
They told me it's like a high, and it wasn't a lie, yeah
Just have some good pussy waiting on a nigga
And fuck whoever hating on a nigga
Aw, yeah
[Chorus: Jai Paul]
Don't fuck with me, don't fuck with me (Don't)
Don't fuck with me, don't fuck with me (Don't)
Don't fuck with me, don't fuck with me (Don't)
Don't fuck with me, don't fuck with me (Don't)
[Outro: Jai Paul]
Don't
Don't fuck with me, don't fuck with me
Don't"
136,136,136,Blue Tint,,"[Intro: Future]
Mario
Pluto
Gang, gang, gang, gang, gang
[Chorus: Drake]
Look who I'm fuckin' again
I had her on ice but then
I watched the ice get thin
Now, does she sink or swim?
[Post-Chorus: Drake & Future]
She had an attitude in the summer
But she bein' nice again (She bein' nice)
Double my price again (Double my price)
Top of the charts, back in they hearts
Nigga, he strikes again, whoa
Some niggas bitter with life and they hate me
They wanna put knife in my ribs, whoa
[Verse 1: Drake]
Way this shit set up I live like Ronaldo
But I never been in Madrid, whoa
She said that that she workin', I told her come over
And we can get right at the crib, whoa
She finish at 6 but then say she got court in the morning to fight for her kid
I told her I'd pray for the kid
[Pre-Chorus: Drake & Future]
What a time this is (Whoa)
To be alive for this shit (Yeah)
President doin' us in (Woo)
My window got blue in the tint (Skrrt)
Did this shit once and I'd do it again
[Chorus: Drake]
Look who I'm fuckin' again
I had her on ice but then
I watched the ice get thin
Now, does she sink or swim?
[Refrain: Future & Drake]
(Blue faces)
Jeez
I got blue diamonds, blue tint, yeah
(Blue faces)
I got blue diamonds, blue tint, yeah
Jeez
Ayy, ayy
[Chorus: Drake]
Look who I'm stuck with again
I had her on ice but then
I watched the ice get so thin
Now, does she sink or does she swim, now?
[Post-Chorus: Drake & Future]
Ayy, 'cause she bein' nice again (She bein' nice)
Double my price again (Double my price)
Top of the charts, back in they hearts
Nigga, he strikes again, whoa
Some niggas bitter with life and they hate me
They wanna put knife in my ribs, whoa
[Verse 2: Drake]
Nobody better to show up and run it
And I could put that on the twins, whoa
We not together but I get the info on you
'Cause I'm nice to your friends
Whoa, whoa, whoa, whoa
Yeah, they shouldn't have told me but they did
[Pre-Chorus: Drake]
What a time this is (Whoa)
To be alive for this shit (Yeah)
President doin' us in (Woo)
My window got blue in the tint (Skrrt)
Ayy, did this shit once and I'd do it again
[Chorus: Drake]
Look who I'm fuckin' again
I had her on ice but then
I watched the ice get thin
Now, does she sink or swim?
[Refrain: Future]
(Blue faces)
I got blue diamonds, blue tint, yeah (Let's go)
(Blue faces)
I got blue diamonds, blue tint, yeah (Let's go)"
137,137,137,Sandra’s Rose,,"[Intro: Sample & Drake]
Yeah, no more, no more
Baby, baby, baby, baby, baby, baby, baby
Yeah, no more, no more
Baby, baby, baby, baby, baby, baby, baby
Ooh, ooh (Yeah)
[Verse 1: Drake]
Niggas see the crib and ask who did I steal from
Price tags on makin' the world feel some
They don't have enough to satisfy a real one
Maverick Carter couldn't even get the deal done
Niggas scared to come towards us, gotta run from us
Louisville hush money for my young gunners
Rick Pitino, I take 'em to strip clubs and casinos
Stack of C-notes, get all you niggas scratched like Preemo
Worms, I just opened up a can of those
My mother had a flower shop, but I was Sandra's rose
Two girls that I rope like Indiana Jones
I make them hoes walk together like I'm Amber Rose
Yeah, fuck that, I got to up the ante
California girls sweeter than pieces of candy
Had me all in Nipsey hood to go link up with Sammy
Type of hood where bandanas make niggas a family
Head on a swivel, I could shoot but I could never dribble
Life too short, I gotta get it 'fore they blow the whistle
My uncle tryna change my energy with stones and crystals
But it's gon' take more than that for me to control my issues
I wasn't made for no casket or no prison cell
Every title doin' numbers like I'm Miss Adele
Sandra knows I pulled us out of a living hell
I'm the chosen one, flowers never pick themselves
[Chorus: Sample]
Yeah, no more, no more
Baby, baby, baby, baby, baby, baby, baby, yeah
Yeah, no more, no more
Baby, baby, baby, baby, baby, baby, baby
Ooh, ooh
[Verse 2: Drake]
Niggas want a classic, that's just ten of these
Crime family like the Genovese, you don't want drama, capisc'?
My house is full of supermodels just like Mohamed Hadid
I take this shit too serious, you niggas my comic relief
I find it funny how I keep on talkin' and commas increase
I'm standin' at the top of where you niggas are climbin' to reach
I even got my very own initials inscribed on my sheets
Subtle reminders are key, jeez!
Spoiler alert: the second act is tragic
And everyone that wants the worst for me's askin' what happened
Backstabbed so many times I started walkin' backwards
Like Charlamagne, I see the light and see the darkest patches
Bury me and I'll be born again
I walk in godly form amongst the mortal men
I got some real demons across the border fence
And made a note of the mistakes we can't afford again
Like I said, can of worms and I'm the early bird
Niggas want to hang but I'm too busy doin' dirty work
Hit 'em back and say we'll link up on the 33rd
When I say that they cursin' me, it ain't dirty words
Church of Pentecost, Holy Spirit synagogue
I don't know who's protectin' me but we hit it off
Sandra's rose, no wonder they tryna pick me off
I guess you gotta show these niggas who you really are
[Chorus: Sample]
Yeah, no more, no more
Baby, baby, baby, baby, baby, baby, baby, yeah
Yeah, no more, no more
Baby, baby, baby, baby, baby, baby, baby
Ooh, ooh, ooh, ooh"
